0.000000 -0.000000 0.000000
0.000000 0.000000 -0.000000
0.000000 -0.000000 0.000000
-0.000000 0.000000 -0.000000
0.000000 -0.000000 0.000000
0.000000 0.000000 -0.000000
-0.000000 -0.000000 -0.000000
0.000000 0.000000 0.000000
-0.000000 -0.000000 0.000000
0.000000 0.000000 -0.000000
0.000000 -0.000000 -0.000000
-0.000000 0.000000 0.000000
-0.000000 -0.000000 -0.000000
-0.000000 0.000000 0.000000
-0.000000 0.000000 -0.000000
0.000000 0.000000 0.000000
0.000000 -0.000000 -0.000000
-0.000000 0.000000 0.000000
0.000000 -0.000000 0.000000
-0.000000 0.000000 -0.000000
-0.000000 -0.000000 0.000000
-0.000000 0.000000 -0.000000
-0.000000 -0.000000 -0.000000
0.000000 0.000000 -0.000000
-0.000000 -0.000000 0.000000
-0.000000 0.000000 -0.000000
0.000000 -0.000000 0.000000
-0.000000 0.000000 0.000000
-0.000000 -0.000000 0.000000
0.000000 0.000000 -0.000000
-0.000000 0.000000 0.000000
-0.000000 0.000000 0.000000
0.367667 0.661042 -0.130893
-0.064214 -0.113447 0.055579
0.034591 -0.008528 -0.003994
-0.000187 -0.007349 -0.004024
0.004178 0.000951 -0.000197
-0.000088 0.009723 -0.004015
0.042480 -0.012877 -0.004260
-0.064387 -0.276526 0.054213
-0.031957 0.030205 -0.004162
-0.189753 -0.185601 0.056800
-0.024311 -0.050662 -0.003950
-0.011891 0.010140 0.003363
-0.000879 -0.006783 0.000493
-0.002883 0.000808 -0.000093
-0.000861 -0.001528 0.000505
-0.012136 -0.020838 0.003351
-0.001273 0.004070 -0.000176
0.008344 0.004674 -0.004060
-0.005362 -0.004069 0.000506
0.008390 -0.002448 -0.004043
-0.001294 -0.002154 -0.000189
0.002177 0.003670 -0.000099
-0.005317 -0.004095 0.000512
0.002111 -0.002056 -0.000106
-0.024587 0.026176 -0.004424
-0.006370 -0.003755 -0.004053
-0.000797 -0.001517 0.000504
0.003819 0.006776 0.001580
-0.000878 -0.006769 0.000500
-0.006382 0.006106 -0.004029
-0.032631 -0.047686 -0.004478
0.014683 -0.005656 0.003340
